t,x_true,y_true,x_obs
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.121886831901772741e+00
1.694915254237288060e-01,1.978955034428945714e+00,-2.131966379764975439e-01,1.562961391932747413e+00
3.389830508474576121e-01,1.934855190647196688e+00,-2.954960272271229260e-01,2.235035668969779454e+00
5.084745762711864181e-01,1.881102304473417197e+00,-3.350937194787077522e-01,2.257328191029902786e+00
6.779661016949152241e-01,1.821964037934395764e+00,-3.617457370773365377e-01,1.041549962472861246e+00
8.474576271186440302e-01,1.758613096569553447e+00,-3.858050257339217803e-01,1.237741293824626165e+00
1.016949152542372836e+00,1.691090963864919416e+00,-4.114348996598954367e-01,1.742227125131833532e+00
1.186440677966101642e+00,1.618923827628121037e+00,-4.409481184954642807e-01,1.492426790690688065e+00
1.355932203389830448e+00,1.541284647930830642e+00,-4.763593891362208343e-01,1.534564184929115171e+00
1.525423728813559254e+00,1.456976142773259930e+00,-5.201225385090185727e-01,1.115758571743827865e+00
1.694915254237288060e+00,1.364305424077922657e+00,-5.757436401740718690e-01,1.716064614023053991e+00
1.864406779661016866e+00,1.260839766007644247e+00,-6.486234564399595559e-01,1.571956540179223705e+00
2.033898305084745672e+00,1.142975173542716494e+00,-7.474989708162145252e-01,1.169387452567203001e+00
2.203389830508474478e+00,1.005169188528117319e+00,-8.870996039896733576e-01,1.456065671315330601e+00
2.372881355932203284e+00,8.385473720441355416e-01,-1.093112836296949775e+00,1.025551108944953826e+00
2.542372881355932090e+00,6.283690414336298158e-01,-1.410859211582027095e+00,2.846520562803345200e-01
2.711864406779660897e+00,3.497925171703498703e-01,-1.915236675315928228e+00,4.972928308033494060e-01
2.881355932203389703e+00,-3.627067190011808162e-02,-2.687218920495018981e+00,-4.198237122317176606e-01
3.050847457627118509e+00,-5.697684463922035869e-01,-3.581755604707395513e+00,-2.183883258692945750e-01
3.220338983050847315e+00,-1.204915105240660367e+00,-3.658983730854096450e+00,-1.224885469635161428e+00
